NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
-37.81285,145.00849,2006-10-01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,5,1,2,1,0,3,7,5,11,8,5,7,10,3,5,10,13,24,6,7,5,16,7,8,2,4,7,3,5,3,6,7,10,9,5,5,4,3,2,9,9,3,5,2,5,1,0,0,0,3,0,1,0,0,1,0,2,3,0,0,0,2,0,0,0,4,0,0,4821 - -1
-37.81285,145.00849,2006-10-02,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,6,3,13,8,9,13,4,1,0,15,3,8,10,5,3,8,8,0,5,4,7,3,2,1,2,7,3,2,0,2,3,7,6,5,4,3,4,6,7,4,12,10,7,9,5,10,9,2,5,1,0,3,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,1,4821 - -1
-37.81285,145.00849,2006-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,20,3,13,13,3,21,6,26,6,4,4,12,5,3,4,3,0,5,3,5,8,1,5,7,4,4,4,4,5,2,6,7,13,2,7,2,3,2,3,5,11,7,5,17,12,2,6,5,4,16,7,5,4,0,1,6,1,0,3,1,1,0,2,0,0,0,0,0,0,2,1,4821 - -1
-37.81285,145.00849,2006-10-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,3,8,5,12,3,13,21,5,17,23,26,10,2,2,3,6,8,4,5,4,2,4,3,7,3,4,0,14,2,8,8,7,3,11,5,3,1,3,0,2,6,7,3,8,5,12,9,12,5,9,15,4,22,0,0,1,1,1,0,0,3,0,1,0,1,0,0,0,1,4,0,1,4821 - -1
-37.81285,145.00849,2006-10-05,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1,3,12,11,10,10,12,7,7,7,6,0,4,3,6,2,2,4,3,1,2,4,2,5,1,3,11,2,9,5,10,5,7,4,0,3,0,4,7,5,2,9,5,5,3,7,6,5,5,2,0,2,3,4,8,0,0,2,0,0,0,1,3,0,0,0,1,0,0,4821 - -1
-37.81285,145.00849,2006-10-06,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,9,17,10,5,12,3,7,15,2,11,9,5,2,3,1,11,1,11,4,9,2,4,3,3,7,7,1,5,4,6,2,2,2,8,1,3,1,0,5,5,6,8,0,9,6,4,7,6,3,9,1,6,2,0,0,0,3,2,0,4,0,1,0,0,1,0,3,1,2,0,0,4821 - -1
-37.81285,145.00849,2006-10-07,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,14,0,1,4,2,1,2,5,0,9,4,12,10,4,7,1,0,2,7,2,7,5,4,12,9,28,9,9,1,7,0,20,8,7,1,3,6,12,4,2,4,5,2,1,6,6,2,2,7,1,5,6,0,1,1,0,4,1,4,5,0,0,0,0,0,0,0,0,4,0,0,2,4821 - -1
-37.81285,145.00849,2006-10-08,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,1,1,5,1,12,12,8,10,7,4,8,3,6,1,15,5,1,2,12,3,4,11,2,8,1,11,1,2,1,2,10,0,4,7,5,8,0,3,0,0,1,1,0,7,2,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,5,2,4,20,10,11,5,3,10,3,3,5,12,3,2,3,2,5,2,0,4,1,5,3,4,1,1,3,1,0,5,4,3,1,9,2,1,2,6,3,6,4,2,3,3,4,5,2,3,2,1,0,1,6,0,1,0,1,1,0,3,0,0,2,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,13,1,9,13,7,18,13,14,4,10,5,6,12,7,6,6,4,5,9,3,5,5,5,2,6,5,4,2,5,7,1,2,9,3,4,4,2,0,4,5,5,4,2,2,17,9,5,4,7,5,6,3,4,6,0,1,1,4,0,1,2,0,0,0,0,0,0,2,0,0,1,4821 - -1
-37.81285,145.00849,2006-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,11,17,9,8,7,10,11,11,4,6,5,5,12,4,14,5,1,4,12,7,1,7,8,3,3,6,5,6,7,1,4,2,6,3,3,2,5,2,3,2,3,1,6,15,8,4,19,1,7,2,1,6,1,0,1,2,0,1,1,0,0,0,1,3,0,1,0,0,1,0,4821 - -1
-37.81285,145.00849,2006-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,10,4,23,6,3,13,7,18,13,10,6,3,2,9,2,6,4,7,8,5,9,6,8,2,2,0,5,4,5,6,6,3,0,1,5,7,1,0,3,3,4,6,3,6,9,6,7,1,0,19,10,4,5,3,2,1,0,10,3,1,2,1,1,0,1,0,4,0,2,0,0,4821 - -1
-37.81285,145.00849,2006-10-13,1,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,2,2,3,13,6,7,16,15,5,12,3,3,19,2,1,2,6,6,22,2,1,9,1,2,3,4,2,6,3,2,1,3,11,12,5,7,8,7,10,8,14,21,12,3,5,4,4,3,8,3,2,2,3,3,5,1,5,0,0,3,3,0,1,0,5,0,1,1,0,1,0,1,1,4821 - -1
-37.81285,145.00849,2006-10-14,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,1,2,4,6,4,1,4,3,8,5,11,7,2,2,5,2,4,5,0,5,3,4,9,7,6,3,10,6,7,3,5,6,6,0,4,8,8,6,7,8,9,2,10,3,4,4,19,5,0,0,2,1,4,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,4821 - -1
-37.81285,145.00849,2006-10-15,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,1,0,0,1,0,1,0,0,1,3,2,1,2,1,3,3,5,2,13,4,3,1,5,2,3,3,5,4,7,3,3,4,6,1,5,9,8,9,7,2,10,3,5,10,2,1,4,5,2,10,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,4,3,3,11,9,11,1,5,4,0,0,11,3,6,2,2,1,5,2,3,2,5,9,4,0,4,7,5,6,7,14,14,1,3,3,4,8,0,2,5,9,11,21,1,4,12,3,8,2,2,2,0,2,1,1,0,3,3,2,0,0,0,2,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,1,3,7,10,14,6,22,12,14,8,19,7,4,3,5,1,4,2,1,4,0,5,2,8,3,8,2,2,4,11,11,3,1,0,0,0,4,3,3,7,7,2,8,4,8,20,4,6,16,7,20,7,5,1,2,2,3,1,0,3,1,3,0,0,2,0,1,0,1,1,0,1,4821 - -1
-37.81285,145.00849,2006-10-18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,0,2,1,1,8,3,9,8,4,7,17,6,10,5,6,0,4,8,8,2,4,4,5,4,4,5,5,7,8,4,5,2,10,5,3,9,8,6,5,7,5,2,2,7,2,11,2,13,18,7,5,4,7,11,3,10,10,5,2,1,0,3,5,3,3,1,0,0,0,1,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,3,2,9,2,14,3,14,9,10,6,3,2,3,0,3,4,5,3,4,4,3,9,1,2,4,4,14,3,3,5,5,2,3,5,2,2,4,2,4,3,4,0,2,2,9,8,7,13,7,5,4,5,2,1,3,6,3,0,3,1,0,0,0,3,2,2,2,0,2,0,4821 - -1
-37.81285,145.00849,2006-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,6,13,5,3,10,1,5,22,10,9,7,5,1,3,4,3,10,4,2,3,8,0,1,3,3,5,8,8,8,4,6,2,1,0,10,6,2,7,3,6,1,8,1,7,4,4,3,0,5,3,7,3,5,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4821 - -1
-37.81285,145.00849,2006-10-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,5,0,5,2,6,5,16,5,10,8,5,5,4,7,3,1,8,0,1,6,3,4,5,12,4,2,1,7,4,5,6,7,6,3,4,10,7,2,5,3,8,3,3,9,4,4,1,6,0,4,0,4,0,1,1,4,0,0,1,0,0,2,0,1,2,4,4,2,0,4821 - -1
