,SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,HF VicRoads Internal,VR Internal Stat,VR Internal Loc,NB_TYPE_SURVEY,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
671,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-01,1,2,1,0,0,0,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,2,4,0,0,4,6,6,7,3,8,3,11,1,10,9,4,7,9,17,7,11,5,5,2,5,8,8,10,5,9,8,9,9,12,4,14,5,5,10,12,6,5,14,7,5,2,6,3,3,5,1,5,4,3,1,4,0,5,0,1,1,0,7,0,0,2,2846 - -1
672,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-02,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,2,6,7,5,10,10,19,19,16,17,15,16,12,6,16,3,10,9,11,7,8,5,12,9,12,10,11,9,9,9,8,12,8,13,15,10,17,16,20,16,14,21,10,18,29,27,24,19,14,19,15,24,12,8,10,14,5,4,7,2,6,1,1,5,6,2,3,2,1,1,3,2846 - -1
673,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-03,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,5,3,4,8,22,19,28,18,18,15,11,8,6,10,9,5,9,8,10,5,10,8,9,10,2,15,10,11,3,15,9,13,7,10,11,23,23,14,18,24,27,21,18,42,23,21,20,29,21,15,17,8,5,10,5,5,5,5,2,3,3,1,6,5,3,3,5,1,3,0,2846 - -1
674,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-04,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,2,1,4,5,5,9,15,27,22,18,16,18,6,17,12,9,14,9,16,7,9,11,13,14,7,14,5,12,8,12,7,20,9,11,6,12,25,13,11,24,20,11,14,23,21,26,22,31,39,23,18,0,0,7,5,0,0,7,0,2,4,2,4,5,1,1,3,6,2,1,1,1,2846 - -1
675,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-05,4,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,2,1,2,0,2,6,9,10,14,23,20,14,24,15,15,7,0,9,4,11,8,12,13,14,7,15,10,9,5,16,7,7,5,12,12,12,12,13,20,16,22,16,14,18,23,22,15,19,30,28,36,22,14,17,8,10,7,9,14,6,2,5,5,4,2,5,13,2,3,1,3,2,3,2,2846 - -1
676,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-06,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2,4,3,2,15,15,28,31,26,24,12,15,15,10,13,8,13,8,10,6,18,10,14,4,7,12,12,12,11,5,8,7,10,8,10,9,17,26,25,23,13,18,20,31,26,31,22,23,27,16,19,13,15,10,5,15,9,7,4,6,5,4,3,5,1,6,1,0,3,0,2,2846 - -1
677,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-07,1,6,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,2,1,1,1,0,2,2,4,11,7,7,10,11,9,8,11,9,18,7,15,10,15,8,18,14,11,16,22,11,10,13,10,11,9,8,7,8,10,3,19,12,13,12,12,14,5,11,11,4,10,4,9,6,4,8,5,1,1,2,4,3,5,4,2,6,3,5,1,2,2,3,2,2846 - -1
678,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-08,1,1,2,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,1,5,3,5,4,9,5,5,5,9,7,8,9,11,8,6,11,4,11,8,7,9,4,9,10,7,6,3,7,7,7,10,8,9,14,11,11,7,7,4,5,7,4,3,4,3,1,3,2,1,2,3,0,1,2,0,1,1,2,1,0,0,3,2846 - -1
679,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,3,6,3,6,23,24,29,22,18,17,9,7,8,0,0,10,9,15,3,9,8,17,13,9,6,12,13,13,12,14,4,14,9,15,14,18,22,24,12,22,6,22,23,17,26,22,30,22,27,19,11,8,2,13,4,8,7,8,5,4,3,2,2,1,0,3,3,4,1,0,2846 - -1
680,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-10,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,1,4,8,12,17,27,29,31,20,9,15,11,12,10,9,15,8,14,5,16,6,8,11,17,6,11,7,9,9,12,8,12,13,16,19,16,21,27,15,18,32,20,16,28,22,23,16,24,23,19,17,13,7,11,6,5,7,3,7,3,4,2,3,1,1,1,1,1,3,2,2846 - -1
681,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-11,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,3,4,6,10,19,20,35,27,22,7,24,11,10,7,7,15,5,14,6,10,10,13,9,13,11,14,14,12,7,12,9,9,8,13,16,17,20,21,20,29,12,17,27,15,29,28,25,27,23,10,15,11,3,6,11,4,12,4,10,2,7,3,3,1,3,2,4,5,0,1,2846 - -1
682,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,3,3,1,2,4,3,16,14,23,28,20,18,24,10,10,10,7,9,17,10,11,7,10,7,9,8,19,10,13,3,12,7,11,6,13,11,16,25,17,18,17,15,18,21,14,20,26,23,28,28,16,21,22,18,17,7,7,8,9,11,6,7,5,7,10,7,2,5,4,2,2,4,1,2846 - -1
683,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-13,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,5,3,3,15,16,28,18,25,21,16,10,17,14,0,0,12,4,13,5,18,8,14,4,13,7,13,13,9,6,11,15,7,10,17,13,18,30,23,27,12,22,14,18,20,32,27,33,23,19,16,18,11,11,9,6,7,13,1,4,3,10,10,2,2,17,11,10,5,6,3,2846 - -1
684,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-14,4,2,0,2,2,2,1,0,0,1,0,2,1,1,0,0,0,0,1,0,2,1,0,2,0,0,1,2,1,0,5,6,11,9,6,9,12,14,10,17,21,11,9,17,20,15,11,9,16,11,10,18,7,13,6,10,8,10,8,11,9,10,10,15,8,9,6,10,10,10,5,11,9,11,7,9,2,8,10,6,6,2,2,6,4,4,2,3,2,2,2,4,5,5,0,0,2846 - -1
685,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-15,1,1,2,0,1,0,0,0,2,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,1,1,2,2,6,6,6,8,7,6,4,2,6,7,7,5,8,10,11,10,8,11,6,8,10,6,7,7,4,12,5,10,7,12,5,6,5,10,13,7,11,8,2,7,8,3,13,2,5,7,4,2,7,5,0,4,1,2,0,0,2,1,2,0,0,2,2846 - -1
686,2846,WILLS_ST NW OF HIGH_ST,059 J09,-37.86088,145.05744,-1,1601,8,1,2006-10-16,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,5,2,4,13,17,16,29,19,16,17,13,17,12,7,5,14,6,3,2,14,10,7,5,15,12,8,4,14,12,14,7,13,13,20,22,19,28,24,22,18,19,23,20,24,34,25,18,25,18,18,19,8,3,13,3,9,6,4,1,2,6,3,1,1,1,2,3,2,0,1,2846 - -1
