,NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
0,-37.81469,145.02261,2006-10-01,50,51,53,81,31,33,25,30,25,35,29,32,29,27,20,18,12,18,26,26,17,14,21,31,26,15,56,34,34,39,57,53,49,51,57,81,107,107,123,146,185,139,135,173,161,127,174,219,201,160,242,188,320,152,332,148,146,137,232,263,152,147,314,248,133,120,161,185,91,184,153,146,140,95,106,72,83,101,73,54,80,52,49,35,98,48,62,42,79,39,34,36,28,19,17,13,3001 - 16551
1,-37.81469,145.02261,2006-10-02,9,17,9,6,28,13,8,11,6,6,5,5,6,9,10,9,15,21,23,14,21,20,28,64,102,93,174,193,222,318,467,305,430,324,338,377,213,220,265,252,224,151,190,148,142,232,262,220,146,131,183,116,119,134,202,108,119,165,142,194,174,127,153,174,160,127,172,150,229,173,232,156,296,239,134,147,144,85,117,136,71,55,75,91,54,42,78,50,52,75,49,23,35,22,16,10,3001 - 16551
2,-37.81469,145.02261,2006-10-03,14,13,7,19,6,9,3,5,5,2,2,5,7,9,7,12,12,12,12,22,20,35,37,61,108,105,158,189,230,418,379,373,429,276,441,405,306,226,208,179,203,141,144,173,151,148,193,197,173,172,163,125,123,118,184,158,234,156,168,120,127,156,160,171,124,146,138,168,183,173,228,177,206,259,199,110,162,166,91,97,99,113,74,113,84,131,157,65,99,52,46,52,37,25,55,15,3001 - 16551
3,-37.81469,145.02261,2006-10-04,20,14,6,21,14,6,8,7,7,7,8,0,17,13,9,13,10,15,22,16,17,38,38,77,85,106,208,212,304,396,370,295,392,276,346,327,372,221,333,205,213,218,224,150,148,158,120,165,169,197,212,129,197,114,155,145,168,150,132,108,180,160,167,184,197,131,150,151,213,170,207,235,171,204,158,148,143,122,157,57,54,126,163,95,74,51,110,63,93,65,132,46,45,18,32,26,3001 - 16551
4,-37.81469,145.02261,2006-10-05,23,11,26,28,15,8,21,17,10,10,3,8,6,4,15,12,9,19,19,21,28,47,54,52,107,157,198,154,246,357,380,352,419,288,388,353,261,232,245,167,224,186,210,152,224,171,208,166,138,136,170,139,169,151,177,148,122,185,124,209,181,134,179,253,203,139,144,155,213,158,255,167,214,244,228,151,125,97,136,82,144,95,100,80,52,96,133,61,94,51,74,56,24,43,27,22,3001 - 16551
5,-37.81469,145.02261,2006-10-06,44,8,29,21,10,10,11,13,6,9,9,18,11,16,13,19,14,20,16,20,22,31,39,43,81,102,214,181,301,344,281,358,417,282,420,471,318,230,202,225,223,195,225,178,198,204,146,145,217,164,227,135,195,127,202,234,162,120,201,117,240,146,224,240,216,186,158,227,215,177,181,245,183,248,160,167,205,153,193,185,135,109,84,58,103,79,64,58,108,65,64,62,77,49,49,47,3001 - 16551
6,-37.81469,145.02261,2006-10-07,46,61,43,31,19,12,16,20,15,14,36,14,23,25,16,30,20,21,13,34,24,17,33,31,36,58,78,80,84,53,92,180,111,123,121,124,142,153,249,199,163,186,246,167,176,232,221,309,300,268,225,199,215,175,271,166,239,263,206,147,182,123,165,164,183,144,198,115,155,146,125,252,252,206,141,172,187,132,110,111,123,143,118,61,79,71,92,65,75,93,71,61,70,57,57,52,3001 - 16551
7,-37.81469,145.02261,2006-10-08,61,77,50,56,47,24,26,22,22,28,33,14,15,21,18,32,18,19,17,16,20,13,21,25,33,53,63,61,39,31,51,61,55,54,59,89,125,125,145,218,204,165,294,143,173,185,350,265,160,178,189,232,156,175,164,209,192,179,133,135,197,178,193,154,146,224,277,119,108,178,246,145,140,106,118,80,129,79,98,78,81,52,88,52,53,60,36,41,70,78,77,22,69,24,22,16,3001 - 16551
8,-37.81469,145.02261,2006-10-09,11,11,9,22,15,2,13,4,7,17,11,6,14,16,8,5,15,8,11,33,22,18,53,75,74,112,197,178,247,399,320,389,404,275,364,365,333,235,194,131,207,163,154,125,192,143,138,235,203,120,254,260,197,134,176,153,234,112,120,151,118,142,150,262,188,235,192,152,142,166,207,138,155,151,164,130,125,99,125,116,90,67,92,78,62,66,73,45,54,28,43,31,34,23,23,11,3001 - 16551
9,-37.81469,145.02261,2006-10-10,13,16,14,14,14,3,15,10,14,2,4,11,4,10,6,17,9,20,20,15,23,41,41,44,98,90,180,177,295,320,373,402,405,328,452,311,366,284,233,195,332,180,332,136,191,123,163,126,208,158,146,213,190,157,214,278,142,120,164,86,173,142,288,265,200,217,238,151,172,204,262,256,181,149,295,133,126,108,229,100,81,85,107,129,46,124,103,81,72,50,70,44,43,24,36,19,3001 - 16551
