identifier,model,mae,rmse,mape,mean_traffic,training_time,status
0970 - 10503,lstm,44.13525363843735,52.66402435693466,97.94148665844477,183.8082191780822,4.170217990875244,success
0970 - 16116,lstm,41.303304535068875,57.42602811957,218.90221869890894,97.875,3.7662928104400635,success
0970 - 249,lstm,36.70177591663517,44.75919974176491,89.42221856620301,188.39212328767124,4.118476867675781,success
0970 - 5887,lstm,48.4986520861903,60.969328969420445,214.97975372464046,117.38829787234043,4.804233074188232,success
2000 - 10505,lstm,41.221260389900934,50.51611130071042,74.66168202150595,193.31558935361215,4.522002458572388,success
2000 - 12521,lstm,45.60764442933809,61.659088403330536,73.41334429926398,160.51559633027523,4.342534303665161,success
2000 - 2276,lstm,44.632727043781806,57.37195030061263,68.6266543028837,149.97798165137615,4.238228797912598,success
2000 - 6246,lstm,30.908163455049348,40.31389494027962,106.19228273006576,138.45817490494298,4.206374883651733,success
2200 - 10074,lstm,27.394033023755846,37.54906330051327,236.02678939240005,73.3818493150685,4.824995994567871,success
2200 - 12428,lstm,29.503040408434934,39.413173765478895,140.66787572116388,88.83390410958904,4.566442012786865,success
2200 - 20314,lstm,27.155025227429114,33.68122625960352,158.53602683939047,74.0736301369863,4.623913764953613,success
2200 - 6819,lstm,23.471050843800583,29.059627727429426,114.05876208248309,91.07534246575342,4.309986114501953,success
2820 - 14985,lstm,16.681065660633454,20.72247464948874,92.29748243098294,76.7431506849315,4.098253965377808,success
2820 - 16542,lstm,46.26157243201073,57.50449553748708,97.77689751730374,152.48581560283688,4.061539888381958,success
2825 - 16628,lstm,40.70019915985735,51.894623848406624,104.32254669303047,142.16095890410958,4.1776323318481445,success
2827 - 10827,lstm,28.034843849809203,35.041253784412675,148.5090001227947,81.92294520547945,4.074312448501587,success
2827 - 12834,lstm,27.958607660580988,34.63844656069696,72.82807750184357,124.4931506849315,4.596436500549316,success
2827 - 2578,lstm,39.23218617047349,52.62257639674074,80.98738294364672,101.37328767123287,4.438151597976685,success
2827 - 588,lstm,36.71728008740569,44.939083313807956,86.91545457766655,168.38013698630138,4.146858215332031,success
